mesa,registrados,votaron,pro,eco,blanco,impugnado,nulo,recurrido,tecnico
1,342,218,113,87,14,0,4,0,0
2,341,209,94,96,17,0,2,0,0
3,344,219,101,93,23,0,2,0,0
4,339,224,95,110,18,0,1,0,0
5,341,200,82,101,15,0,2,0,0
6,342,234,90,126,13,5,0,0,0
7,340,220,99,105,15,0,1,0,0
8,340,229,102,105,19,0,3,0,0
9,340,228,93,116,17,0,2,0,0
10,338,208,85,97,20,6,0,0,0
11,340,208,86,102,17,0,3,0,0
12,340,234,106,107,13,0,8,0,0
13,341,211,98,100,9,0,4,0,0
14,340,214,96,101,14,0,3,0,0
15,338,210,88,107,14,0,0,0,1
16,341,206,92,101,12,0,1,0,0
17,340,212,89,113,10,0,0,0,0
18,341,219,99,98,19,0,3,0,0
19,341,228,105,104,18,0,1,0,0
20,341,225,90,109,23,0,3,0,0
21,340,210,97,98,13,0,2,0,0
22,340,221,88,110,20,0,3,0,0
23,343,228,97,118,11,0,2,0,0
24,341,234,93,120,15,0,6,0,0
25,340,216,89,108,18,0,1,0,0
26,341,219,109,96,12,0,2,0,0
27,341,236,105,110,19,0,2,0,0
28,341,231,98,119,12,0,2,0,0
29,337,217,86,113,14,0,4,0,0
30,341,223,88,108,23,0,4,0,0
31,341,211,90,97,20,0,4,0,0
32,349,192,72,107,10,0,3,0,0
33,353,214,75,108,25,0,6,0,0
34,350,228,97,111,17,0,3,0,0
35,349,230,75,132,18,0,5,0,0
36,351,212,77,115,17,0,3,0,0
37,354,218,82,113,18,0,5,0,0
38,349,206,85,103,15,0,3,0,0
39,347,205,88,102,13,0,2,0,0
40,346,215,91,113,11,0,0,0,0
41,347,216,73,125,14,0,4,0,0
42,347,186,68,102,11,0,5,0,0
43,349,213,86,112,14,0,1,0,0
44,348,221,96,108,10,0,7,0,0
45,350,231,79,138,14,0,0,0,0
46,351,228,85,121,20,0,2,0,0
47,348,217,90,114,13,0,0,0,0
48,348,206,84,109,10,0,3,0,0
49,349,207,94,100,10,3,0,0,0
50,348,226,82,120,20,0,4,0,0
51,352,221,93,113,11,0,1,0,3
52,346,216,89,107,13,5,2,0,0
53,347,217,100,101,16,0,0,0,0
54,348,208,90,97,13,0,8,0,0
55,350,214,88,104,15,0,7,0,0
56,349,220,98,103,17,0,2,0,0
57,352,212,90,96,20,0,6,0,0
58,349,217,89,119,7,0,2,0,0
59,348,211,91,104,10,0,6,0,0
60,348,217,87,102,15,0,13,0,0
61,314,202,158,39,5,0,0,0,0
62,312,209,137,68,4,0,0,0,0
63,310,203,144,50,8,0,1,0,0
64,313,211,158,45,5,0,3,0,0
65,314,220,141,76,3,0,0,0,0
66,312,204,146,53,5,0,0,0,0
67,334,207,148,53,6,0,0,0,0
68,333,218,165,49,4,0,0,0,0
69,336,217,158,53,6,0,0,0,0
70,331,226,174,43,9,0,0,0,0
71,333,216,145,63,8,0,0,0,0
72,336,217,153,59,5,0,0,0,0
73,352,169,56,103,9,0,0,0,1
74,352,163,69,84,7,0,3,0,0
75,351,143,56,79,8,0,0,0,0
76,353,164,63,91,10,0,0,0,0
77,351,194,84,94,15,0,0,0,1
78,350,170,48,114,7,0,1,0,0
79,352,166,66,83,16,0,1,0,0
80,349,154,59,81,13,0,1,0,0
81,350,168,63,92,12,0,1,0,0
82,353,166,62,98,5,0,1,0,0
83,351,177,68,86,21,0,2,0,0
84,349,185,69,102,13,0,1,0,0
85,353,185,83,92,7,0,3,0,0
86,353,164,63,82,18,0,0,1,0
87,351,140,51,78,11,0,0,0,0
88,351,158,69,81,7,0,1,0,0
89,352,157,71,72,10,1,3,0,0
90,352,146,53,79,14,0,0,0,0
91,349,172,57,99,12,0,4,0,0
92,351,178,63,98,15,0,1,0,1
93,352,180,55,112,10,0,3,0,0
94,347,175,69,93,10,0,3,0,0
95,348,234,182,48,4,0,0,0,0
96,350,233,179,51,3,0,0,0,0
97,348,210,172,33,4,0,1,0,0
98,348,230,172,52,5,0,0,0,1
99,347,226,181,42,3,0,0,0,0
100,346,223,174,44,4,0,1,0,0
101,348,237,188,47,2,0,0,0,0
102,347,220,153,60,5,0,2,0,0
103,348,220,165,51,3,0,1,0,0
104,349,221,174,38,7,0,2,0,0
105,347,201,139,51,9,0,1,0,1
106,349,209,157,48,4,0,0,0,0
107,348,237,184,41,12,0,0,0,0
108,348,227,178,41,8,0,0,0,0
109,348,231,188,40,3,0,0,0,0
110,345,220,172,43,5,0,0,0,0
111,349,231,181,44,5,0,1,0,0
112,347,221,165,52,3,1,0,0,0
113,346,198,153,38,6,0,1,0,0
114,346,215,162,46,7,0,0,0,0
115,347,238,193,39,5,0,1,0,0
116,347,217,167,43,5,0,2,0,0
117,345,198,149,43,6,0,0,0,0
118,348,228,173,47,8,0,0,0,0
119,348,214,160,50,3,0,1,0,0
120,347,228,181,43,4,0,0,0,0
121,349,212,167,40,4,0,1,0,0
122,348,220,165,44,8,0,1,0,2
123,349,219,168,48,3,0,0,0,0
124,347,220,180,36,4,0,0,0,0
125,348,223,178,42,3,0,0,0,0
126,348,219,178,33,5,0,1,0,2
127,347,200,161,36,3,0,0,0,0
128,348,233,183,40,5,0,5,0,0
129,347,224,180,39,3,0,2,0,0
130,348,208,162,40,6,0,0,0,0
131,347,211,160,46,4,0,1,0,0
132,347,215,162,44,9,0,0,0,0
133,347,216,147,58,11,0,0,0,0
134,349,203,147,50,6,0,0,0,0
135,346,202,173,26,3,0,0,0,0
136,347,212,160,50,2,0,0,0,0
137,349,222,174,44,4,0,0,0,0
138,346,204,151,48,4,0,1,0,0
139,349,224,177,42,5,0,0,0,0
140,343,211,167,39,4,0,1,0,0
141,346,237,183,48,5,0,1,0,0
142,343,230,159,62,9,0,0,0,0
143,345,227,149,68,7,0,3,0,0
144,345,217,143,71,2,0,0,1,0
145,346,234,152,68,9,0,5,0,0
146,343,231,155,65,11,0,0,0,0
147,346,228,151,67,9,0,1,0,0
148,344,234,157,69,6,0,2,0,0
149,344,221,157,54,8,0,2,0,0
150,340,219,150,59,9,0,1,0,0
151,347,225,153,66,6,0,0,0,0
152,342,219,124,82,13,0,0,0,0
153,344,200,123,66,7,0,4,0,0
154,344,229,155,66,7,0,1,0,0
155,342,207,138,59,9,0,1,0,0
156,348,228,156,63,5,0,3,0,1
157,343,224,145,74,5,0,0,0,0
158,346,237,158,70,9,0,0,0,0
159,342,221,165,46,9,0,1,0,0
160,344,213,138,67,8,0,0,0,0
161,342,218,132,71,14,0,0,0,1
162,343,206,139,61,6,0,0,0,0
163,341,217,149,57,8,0,3,0,0
164,340,228,144,75,9,0,0,0,0
165,344,214,141,68,4,0,1,0,0
166,339,190,113,67,9,0,1,0,0
167,339,191,101,81,7,0,2,0,0
168,340,186,113,65,8,0,0,0,0
169,342,200,138,50,11,0,1,0,0
170,338,198,114,74,7,0,3,0,0
171,337,195,137,52,5,0,1,0,0
172,341,193,121,63,8,0,1,0,0
173,341,201,139,53,8,0,1,0,0
174,342,199,125,63,8,0,2,0,1
175,340,188,114,61,12,0,1,0,0
176,342,180,127,46,6,0,1,0,0
177,339,196,124,64,7,0,1,0,0
178,338,173,105,60,7,0,1,0,0
179,341,198,123,61,10,0,3,0,1
180,339,202,113,79,10,0,0,0,0
181,342,206,128,67,9,0,1,1,0
182,336,197,139,45,9,0,4,0,0
183,338,187,116,65,6,0,0,0,0
184,338,192,137,51,4,0,0,0,0
185,339,205,132,65,7,0,1,0,0
186,340,193,128,59,5,0,1,0,0
187,339,193,116,66,11,0,0,0,0
188,339,183,114,63,6,0,0,0,0
189,338,204,134,59,10,0,1,0,0
190,338,206,121,78,0,0,1,6,0
191,339,202,115,84,1,0,2,0,0
192,351,182,114,60,7,0,1,0,0
193,349,206,109,85,8,0,4,0,0
194,350,182,101,70,10,0,0,0,1
195,349,195,119,71,5,0,0,0,0
196,348,187,116,59,9,0,3,0,0
197,349,197,122,66,6,0,3,0,0
198,351,203,127,65,11,0,0,0,0
199,348,190,116,66,6,0,2,0,0
200,351,171,98,65,8,0,0,0,0
201,349,212,131,66,10,0,5,0,0
202,347,187,112,62,12,0,1,0,0
203,348,203,114,77,11,0,1,0,0
204,352,196,122,67,6,0,1,0,0
205,350,197,118,69,9,0,1,0,0
206,351,193,123,61,7,0,2,0,0
207,349,189,100,78,11,0,0,0,0
208,345,187,119,64,4,0,0,0,0
209,353,196,119,65,10,0,2,0,0
210,348,202,116,76,10,0,0,0,0
211,349,179,103,67,8,0,1,0,0
212,347,195,111,79,4,0,1,0,0
213,351,200,124,60,15,0,1,0,0
214,344,203,115,78,8,0,2,0,0
215,348,199,130,63,6,0,0,0,0
216,348,181,103,66,12,0,0,0,0
217,351,203,123,67,12,0,1,0,0
218,348,182,103,66,7,0,6,0,0
219,347,193,101,76,13,0,2,1,0
220,350,173,112,52,8,1,0,0,0
221,351,190,88,84,17,0,1,0,0
222,350,193,114,66,10,0,3,0,0
223,347,202,119,71,12,0,0,0,0
224,348,189,117,62,7,0,3,0,0
225,349,226,109,100,15,0,2,0,0
226,349,223,113,99,11,0,0,0,0
227,347,220,124,83,11,0,2,0,0
228,350,223,123,80,20,0,0,0,0
229,347,216,113,87,14,0,2,0,0
230,350,207,104,95,7,0,1,0,0
231,350,223,115,90,15,0,3,0,0
232,348,203,104,83,14,0,1,0,1
233,347,220,122,88,10,0,0,0,0
234,347,214,120,80,14,0,0,0,0
235,350,208,114,79,13,1,1,0,0
236,346,198,114,68,11,0,5,0,0
237,348,216,113,86,14,0,3,0,0
238,350,223,127,87,8,0,1,0,0
239,350,217,119,90,7,0,0,0,1
240,350,212,111,87,14,0,0,0,0
241,348,193,104,71,14,0,4,0,0
242,346,199,115,72,12,0,0,0,0
243,347,209,110,87,11,0,1,0,0
244,351,208,105,89,12,0,2,0,0
245,350,209,110,84,13,0,2,0,0
246,350,217,117,92,7,0,1,0,0
247,348,201,109,78,10,0,4,0,0
248,349,201,106,86,8,0,1,0,0
249,349,216,116,89,10,0,1,0,0
250,348,213,128,80,5,0,0,0,0
251,347,221,107,102,10,0,2,0,0
252,349,230,146,74,8,0,2,0,0
253,349,206,111,82,12,0,1,0,0
254,349,210,112,91,7,0,0,0,0
255,348,211,111,92,7,0,1,0,0
256,349,200,91,98,9,0,2,0,0
257,346,210,124,78,7,0,1,0,0
258,348,211,113,90,8,0,0,0,0
259,350,214,115,87,8,0,4,0,0
260,343,206,101,93,12,0,0,0,0
261,345,217,103,100,13,0,1,0,0
262,344,200,82,104,12,0,2,0,0
263,344,189,94,79,14,0,2,0,0
264,348,203,105,83,12,0,3,0,0
265,345,208,99,94,13,0,2,0,0
266,346,223,113,96,12,0,2,0,0
267,343,204,87,101,14,0,1,0,1
268,345,204,94,93,16,0,0,0,1
269,345,212,99,99,14,0,0,0,0
270,346,187,91,79,14,0,3,0,0
