mesa registrados votaron pro eco blanco impugnado nulo recurrido tecnico
1 342 218 52.8 40.65 6.54 0 1.87 0 0
2 341 209 45.41 46.38 8.21 0 0.97 0 0
3 344 219 46.54 42.86 10.6 0 0.92 0 0
4 339 224 42.6 49.33 8.07 0 0.45 0 0
5 341 200 41.41 51.01 7.58 0 1.01 0 0
6 342 234 39.3 55.02 5.68 2.18 0 0 0
7 340 220 45.21 47.95 6.85 0 0.46 0 0
8 340 229 45.13 46.46 8.41 0 1.33 0 0
9 340 228 41.15 51.33 7.52 0 0.88 0 0
10 338 208 42.08 48.02 9.9 2.97 0 0 0
11 340 208 41.95 49.76 8.29 0 1.46 0 0
12 340 234 46.9 47.35 5.75 0 3.54 0 0
13 341 211 47.34 48.31 4.35 0 1.93 0 0
14 340 214 45.5 47.87 6.64 0 1.42 0 0
15 338 210 42.11 51.2 6.7 0 0 0 0.48
16 341 206 44.88 49.27 5.85 0 0.49 0 0
17 340 212 41.98 53.3 4.72 0 0 0 0
18 341 219 45.83 45.37 8.8 0 1.39 0 0
19 341 228 46.26 45.81 7.93 0 0.44 0 0
20 341 225 40.54 49.1 10.36 0 1.35 0 0
21 340 210 46.63 47.12 6.25 0 0.96 0 0
22 340 221 40.37 50.46 9.17 0 1.38 0 0
23 343 228 42.92 52.21 4.87 0 0.88 0 0
24 341 234 40.79 52.63 6.58 0 2.63 0 0
25 340 216 41.4 50.23 8.37 0 0.47 0 0
26 341 219 50.23 44.24 5.53 0 0.92 0 0
27 341 236 44.87 47.01 8.12 0 0.85 0 0
28 341 231 42.79 51.97 5.24 0 0.87 0 0
29 337 217 40.38 53.05 6.57 0 1.88 0 0
30 341 223 40.18 49.32 10.5 0 1.83 0 0
31 341 211 43.48 46.86 9.66 0 1.93 0 0
32 349 192 38.1 56.61 5.29 0 1.59 0 0
33 353 214 36.06 51.92 12.02 0 2.88 0 0
34 350 228 43.11 49.33 7.56 0 1.33 0 0
35 349 230 33.33 58.67 8 0 2.22 0 0
