comuna,mesa,sum(registrados),sum(votaron),sum(pro),sum(eco),sum(blanco),sum(impugnado),sum(nulo),sum(recurrido),sum(tecnico)
1,1,4058,2501,1087,1189,193,11,21,0,0
1,12,2381,1506,668,727,91,0,19,0,1
1,19,3409,2248,971,1092,161,0,24,0,0
1,29,1019,651,264,318,57,0,12,0,0
1,32,4889,2987,1144,1589,207,0,47,0,0
1,46,3137,1946,807,982,126,8,20,0,3
1,55,2096,1291,543,628,84,0,36,0,0
1,61,3878,2550,1827,651,68,0,4,0,0
1,73,4566,2204,846,1199,143,0,14,0,2
1,86,3158,1470,551,794,107,1,15,1,1
1,95,6952,4444,3419,910,102,1,10,0,2
1,115,7644,4760,3694,937,110,0,15,0,4
1,137,3426,2085,1504,514,57,0,9,1,0
1,142,5125,3219,2112,968,117,0,21,1,0
1,156,1379,910,624,253,28,0,4,0,1
1,160,2054,1296,843,399,49,0,4,0,1
1,166,5098,2890,1807,939,123,0,19,0,2
1,186,2033,1181,728,409,33,0,5,6,0
1,192,5243,2901,1742,1009,125,0,24,0,1
1,207,3134,1750,1037,630,76,0,7,0,0
1,216,3140,1706,980,610,98,1,16,1,0
1,225,3484,2175,1147,885,131,0,11,0,1
1,235,6237,3646,1962,1469,185,1,28,0,1
1,252,2788,1692,923,692,66,0,11,0,0
1,260,3448,2066,977,942,132,0,13,0,2
1,270,3455,1944,936,868,121,0,16,0,3
1,280,2752,1589,760,699,116,1,13,0,0
1,288,3091,1778,841,836,93,0,6,0,2
1,297,5158,3189,1512,1441,199,2,33,1,1
1,312,1376,812,420,333,51,0,8,0,0
1,316,3106,1918,940,844,116,0,18,0,0
1,325,2066,1244,591,569,75,0,9,0,0
1,331,2801,1789,795,857,110,0,23,0,4
1,339,2801,1796,810,862,100,0,22,2,0
1,347,2447,1568,732,736,76,0,21,0,3
1,354,3158,2013,960,920,115,0,16,1,1
1,363,1404,892,389,434,62,0,7,0,0
1,367,1733,1036,514,459,51,1,10,1,0
1,372,3763,2090,1082,879,108,3,18,0,0
1,382,3392,2024,850,1032,125,3,13,0,1
1,392,3390,2005,773,1068,127,0,35,0,2
1,402,2023,1188,480,607,79,1,19,0,2
1,408,3477,2165,978,1005,148,0,34,0,0
1,418,1739,1073,486,523,52,0,12,0,0
1,423,1733,1063,486,513,52,0,11,1,0
1,428,1387,848,390,407,45,0,6,0,0
1,432,4879,3144,1375,1543,181,3,42,0,0
1,446,3128,2014,870,984,135,2,23,0,0
1,455,1398,923,393,451,66,0,13,0,0
1,459,3099,1859,861,870,108,0,20,0,0
1,467,3469,2072,952,987,108,3,22,0,0
1,477,1727,1050,467,509,66,0,8,0,0
1,482,2419,1486,703,677,96,0,10,0,0
1,489,3459,2162,961,1058,121,0,22,0,0
1,499,3455,2116,1014,947,140,0,15,0,0
1,509,1380,852,418,370,55,0,9,0,0
1,513,1726,1077,503,493,70,2,8,0,1
1,518,1040,645,285,313,41,0,4,0,2
2,521,10645,6375,4485,1687,174,0,24,0,5
2,544,2398,1510,1176,292,36,0,5,0,1
2,551,7895,4973,3846,978,133,0,13,0,3
2,574,1371,850,651,180,17,0,2,0,0
2,585,4515,3012,1825,1075,96,0,15,0,1
2,598,3458,2350,1359,878,98,0,14,0,1
2,608,1383,936,546,347,34,0,8,0,1
2,612,4141,2827,1673,1025,107,1,19,0,2
2,624,2072,1413,794,544,63,0,12,0,0
2,630,1037,694,417,255,19,0,3,0,0
2,633,6269,4271,2510,1567,157,1,33,3,0
2,651,4527,3081,1830,1114,118,0,18,0,1
2,664,3477,2367,1401,865,91,2,8,0,0
2,674,1739,1223,752,413,52,0,6,0,0
2,679,4515,2996,1731,1141,104,1,16,0,3
2,692,5536,3740,2461,1139,126,1,13,0,0
2,709,4148,2806,1833,880,75,0,10,0,8
2,721,2411,1654,1080,523,47,0,3,1,0
2,728,1036,689,456,217,13,0,3,0,0
2,731,2061,1374,985,347,34,2,4,0,2
2,737,4114,2759,1954,711,76,0,17,0,1
2,749,6858,4561,3200,1198,132,2,21,0,8
2,769,2414,1594,1175,372,41,0,3,0,3
2,776,4142,2729,2016,626,82,1,3,1,0
2,788,1725,1101,809,261,28,1,2,0,0
2,793,3453,2196,1614,511,63,0,7,0,1
2,803,5509,3639,2634,901,90,0,13,0,1
2,819,3478,2268,1397,761,96,0,14,0,0
2,829,7223,4676,2737,1709,193,0,35,0,2
2,849,2769,1765,1010,683,67,0,5,0,0
2,857,4913,3261,1692,1393,154,0,20,1,1
2,871,3512,2343,1208,1022,100,0,13,0,0
2,881,4210,2781,1435,1187,142,2,15,0,0
2,893,5609,3697,1866,1642,163,0,25,1,0
2,909,6274,4184,2190,1781,182,1,29,1,0
2,927,4180,2892,1466,1276,129,0,21,0,0
2,939,1736,1140,562,526,36,1,15,0,0
3,944,3502,2208,1078,984,128,0,17,0,1
3,954,2462,1562,811,668,60,3,19,0,1
3,961,3121,1921,915,884,102,2,17,0,1
3,969,3122,1801,918,776,96,0,11,0,0
3,977,5551,3442,1709,1534,160,7,32,0,0
3,993,5536,3322,1644,1482,166,0,29,0,1
3,1009,2071,1254,618,582,48,0,5,0,1
3,1015,3420,2069,1017,915,117,2,18,0,0
3,1024,1379,867,412,383,56,0,16,0,0
3,1028,2060,1230,580,580,62,0,8,0,0
3,1034,1716,1068,494,503,62,0,8,0,1
3,1039,3437,2113,1010,953,128,0,19,0,3
3,1049,2788,1747,832,794,108,1,12,0,0
3,1057,4170,2528,1159,1202,144,2,19,0,2
3,1069,3129,1952,926,899,111,0,15,1,0
3,1078,2781,1737,791,828,105,5,5,0,3
3,1086,4842,2916,1273,1413,194,7,28,0,1
3,1099,2782,1729,758,850,101,4,12,0,4
3,1107,4857,2963,1384,1407,145,0,25,0,2
3,1121,3856,2561,1143,1245,154,0,19,0,0
3,1132,4549,2922,1321,1406,165,0,27,0,3
3,1145,4544,2894,1305,1377,187,0,22,0,3
3,1158,4423,2856,1165,1462,187,0,40,0,2
3,1171,4083,2651,1105,1348,172,0,24,1,1
